raw_text,normalized_text,intent,drug_entities
ينفع اخد فلاجيل مع اموكسيسيلين؟,هل يمكن أتناول Flagyl مع Amoxicillin؟,interaction,Flagyl|Amoxicillin
ينفع اخد جرعة من باراسيتامول؟,هل يمكن أتناول جرعة من Paracetamol؟,dosage,Paracetamol
ايه اعراض اموكسيسيلين الجانبية؟,ما هي اعراض Amoxicillin الجانبية؟,side_effects,Amoxicillin
في تفاعل بين باراسيتامول و اسبرين؟,في تفاعل بين Paracetamol و Aspirin؟,interaction,Paracetamol|Aspirin
كونجستال ممكن يسبب دوخة؟,Congestal ممكن يسبب دوخة؟,side_effects,Congestal
هل بروفين يسبب صداع؟,هل Brufen يسبب صداع؟,side_effects,Brufen
هل فلاجيل خطر لمرضى الضغط؟,هل Flagyl خطر لمرضى الضغط؟,contraindication,Flagyl
في تفاعل بين كتافلام و اموكسيسيلين؟,في تفاعل بين Cataflam و Amoxicillin؟,interaction,Cataflam|Amoxicillin
جرعة باراسيتامول للاطفال كام؟,جرعة Paracetamol للاطفال ما؟,dosage,Paracetamol
مين ممنوع ياخد زيرتك؟,مين ممنوع يأتناول Zyrtec؟,contraindication,Zyrtec
زيرتك ممكن يسبب دوخة؟,Zyrtec ممكن يسبب دوخة؟,side_effects,Zyrtec
ينفع اخد جرعة من فلاجيل؟,هل يمكن أتناول جرعة من Flagyl؟,dosage,Flagyl
جرعة بروفين للاطفال كام؟,جرعة Brufen للاطفال ما؟,dosage,Brufen
ايه اعراض اوجمنتين الجانبية؟,ما هي اعراض Augmentin الجانبية؟,side_effects,Augmentin
طريقة استخدام زيرتك ايه؟,طريقة استخدام Zyrtec ما هي؟,dosage,Zyrtec
بعد ما اخدت زيرتك حسيت بتعب,بعد ما أتناولت Zyrtec حسيت بتعب,side_effects,Zyrtec
في تفاعل بين زيرتك و بروفين؟,في تفاعل بين Zyrtec و Brufen؟,interaction,Zyrtec|Brufen
اقدر اخد اوجمنتين و فلاجيل مع بعض؟,اقدر أتناول Augmentin و Flagyl مع بعض؟,interaction,Augmentin|Flagyl
ينفع اخد اموكسيسيلين مع اسبرين؟,هل يمكن أتناول Amoxicillin مع Aspirin؟,interaction,Amoxicillin|Aspirin
هل الجمع بين بروفين و فلاجيل خطر؟,هل الجمع بين Brufen و Flagyl خطر؟,interaction,Brufen|Flagyl
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
اخد اموكسيسيلين كام مرة في اليوم؟,أتناول Amoxicillin ما مرة في اليوم؟,dosage,Amoxicillin
ينفع الحامل تاخد بنادول؟,هل يمكن الحامل تأتناول Panadol؟,contraindication,Panadol
مين ممنوع ياخد كونجستال؟,مين ممنوع يأتناول Congestal؟,contraindication,Congestal
اقدر اخد باراسيتامول و اموكسيسيلين مع بعض؟,اقدر أتناول Paracetamol و Amoxicillin مع بعض؟,interaction,Paracetamol|Amoxicillin
هل زيرتك مناسب لمرضى السكر؟,هل Zyrtec مناسب لمرضى السكر؟,contraindication,Zyrtec
في تفاعل بين زيرتك و كتافلام؟,في تفاعل بين Zyrtec و Cataflam؟,interaction,Zyrtec|Cataflam
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
ينفع اخد جرعة من باراسيتامول؟,هل يمكن أتناول جرعة من Paracetamol؟,dosage,Paracetamol
هل باراسيتامول يتاخد مع اموكسيسيلين؟,هل Paracetamol يتم تناوله مع Amoxicillin؟,interaction,Paracetamol|Amoxicillin
بنادول ممكن يسبب دوخة؟,Panadol ممكن يسبب دوخة؟,side_effects,Panadol
في تفاعل بين بنادول و اوجمنتين؟,في تفاعل بين Panadol و Augmentin؟,interaction,Panadol|Augmentin
في تفاعل بين فلاجيل و اوجمنتين؟,في تفاعل بين Flagyl و Augmentin؟,interaction,Flagyl|Augmentin
بعد ما اخدت اوجمنتين حسيت بتعب,بعد ما أتناولت Augmentin حسيت بتعب,side_effects,Augmentin
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
هل اموكسيسيلين يسبب صداع؟,هل Amoxicillin يسبب صداع؟,side_effects,Amoxicillin
في تفاعل بين اموكسيسيلين و زيرتك؟,في تفاعل بين Amoxicillin و Zyrtec؟,interaction,Amoxicillin|Zyrtec
اخد فلاجيل كام مرة في اليوم؟,أتناول Flagyl ما مرة في اليوم؟,dosage,Flagyl
ينفع الحامل تاخد بروفين؟,هل يمكن الحامل تأتناول Brufen؟,contraindication,Brufen
ايه اعراض كتافلام الجانبية؟,ما هي اعراض Cataflam الجانبية؟,side_effects,Cataflam
بعد ما اخدت بنادول حسيت بتعب,بعد ما أتناولت Panadol حسيت بتعب,side_effects,Panadol
مين ممنوع ياخد اموكسيسيلين؟,مين ممنوع يأتناول Amoxicillin؟,contraindication,Amoxicillin
ايه اعراض كتافلام الجانبية؟,ما هي اعراض Cataflam الجانبية؟,side_effects,Cataflam
الجرعة كام ل اوجمنتين؟,الجرعة ما ل Augmentin؟,dosage,Augmentin
هل باراسيتامول مناسب لمرضى السكر؟,هل Paracetamol مناسب لمرضى السكر؟,contraindication,Paracetamol
هل كونجستال خطر لمرضى الضغط؟,هل Congestal خطر لمرضى الضغط؟,contraindication,Congestal
مين ممنوع ياخد اموكسيسيلين؟,مين ممنوع يأتناول Amoxicillin؟,contraindication,Amoxicillin
هل زيرتك مناسب لمرضى السكر؟,هل Zyrtec مناسب لمرضى السكر؟,contraindication,Zyrtec
طريقة استخدام اموكسيسيلين ايه؟,طريقة استخدام Amoxicillin ما هي؟,dosage,Amoxicillin
مين ممنوع ياخد اوجمنتين؟,مين ممنوع يأتناول Augmentin؟,contraindication,Augmentin
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
طريقة استخدام كتافلام ايه؟,طريقة استخدام Cataflam ما هي؟,dosage,Cataflam
الجرعة كام ل فلاجيل؟,الجرعة ما ل Flagyl؟,dosage,Flagyl
جرعة باراسيتامول للاطفال كام؟,جرعة Paracetamol للاطفال ما؟,dosage,Paracetamol
الجرعة كام ل بروفين؟,الجرعة ما ل Brufen؟,dosage,Brufen
هل اسبرين خطر على الكلى؟,هل Aspirin خطر على الكلى؟,contraindication,Aspirin
هل بنادول خطر على الكلى؟,هل Panadol خطر على الكلى؟,contraindication,Panadol
هل بنادول خطر على الكلى؟,هل Panadol خطر على الكلى؟,contraindication,Panadol
جرعة زيرتك للاطفال كام؟,جرعة Zyrtec للاطفال ما؟,dosage,Zyrtec
طريقة استخدام فلاجيل ايه؟,طريقة استخدام Flagyl ما هي؟,dosage,Flagyl
بعد ما اخدت اوجمنتين حسيت بتعب,بعد ما أتناولت Augmentin حسيت بتعب,side_effects,Augmentin
اخد باراسيتامول كام مرة في اليوم؟,أتناول Paracetamol ما مرة في اليوم؟,dosage,Paracetamol
هل باراسيتامول يتاخد مع اموكسيسيلين؟,هل Paracetamol يتم تناوله مع Amoxicillin؟,interaction,Paracetamol|Amoxicillin
في تفاعل بين باراسيتامول و اسبرين؟,في تفاعل بين Paracetamol و Aspirin؟,interaction,Paracetamol|Aspirin
ينفع اخد جرعة من اوجمنتين؟,هل يمكن أتناول جرعة من Augmentin؟,dosage,Augmentin
هل اسبرين خطر على الكلى؟,هل Aspirin خطر على الكلى؟,contraindication,Aspirin
في تفاعل بين بنادول و باراسيتامول؟,في تفاعل بين Panadol و Paracetamol؟,interaction,Panadol|Paracetamol
مين ممنوع ياخد فلاجيل؟,مين ممنوع يأتناول Flagyl؟,contraindication,Flagyl
ايه اعراض بنادول الجانبية؟,ما هي اعراض Panadol الجانبية؟,side_effects,Panadol
هل بنادول مناسب لمرضى السكر؟,هل Panadol مناسب لمرضى السكر؟,contraindication,Panadol
هل الجمع بين باراسيتامول و بنادول خطر؟,هل الجمع بين Paracetamol و Panadol خطر؟,interaction,Paracetamol|Panadol
اخد اوجمنتين كام مرة في اليوم؟,أتناول Augmentin ما مرة في اليوم؟,dosage,Augmentin
بعد ما اخدت اموكسيسيلين حسيت بتعب,بعد ما أتناولت Amoxicillin حسيت بتعب,side_effects,Amoxicillin
اخد بروفين كام مرة في اليوم؟,أتناول Brufen ما مرة في اليوم؟,dosage,Brufen
جرعة اوجمنتين للاطفال كام؟,جرعة Augmentin للاطفال ما؟,dosage,Augmentin
الجرعة كام ل اسبرين؟,الجرعة ما ل Aspirin؟,dosage,Aspirin
طريقة استخدام فلاجيل ايه؟,طريقة استخدام Flagyl ما هي؟,dosage,Flagyl
اقدر اخد اموكسيسيلين و كتافلام مع بعض؟,اقدر أتناول Amoxicillin و Cataflam مع بعض؟,interaction,Amoxicillin|Cataflam
ينفع اخد زيرتك مع بروفين؟,هل يمكن أتناول Zyrtec مع Brufen؟,interaction,Zyrtec|Brufen
بعد ما اخدت باراسيتامول حسيت بتعب,بعد ما أتناولت Paracetamol حسيت بتعب,side_effects,Paracetamol
هل بروفين يتاخد مع كونجستال؟,هل Brufen يتم تناوله مع Congestal؟,interaction,Brufen|Congestal
بعد ما اخدت بروفين حسيت بتعب,بعد ما أتناولت Brufen حسيت بتعب,side_effects,Brufen
ينفع الحامل تاخد كتافلام؟,هل يمكن الحامل تأتناول Cataflam؟,contraindication,Cataflam
بروفين ممكن يسبب دوخة؟,Brufen ممكن يسبب دوخة؟,side_effects,Brufen
هل باراسيتامول خطر على الكلى؟,هل Paracetamol خطر على الكلى؟,contraindication,Paracetamol
جرعة كتافلام للاطفال كام؟,جرعة Cataflam للاطفال ما؟,dosage,Cataflam
ينفع اخد جرعة من فلاجيل؟,هل يمكن أتناول جرعة من Flagyl؟,dosage,Flagyl
ينفع اخد جرعة من اوجمنتين؟,هل يمكن أتناول جرعة من Augmentin؟,dosage,Augmentin
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
اخد فلاجيل كام مرة في اليوم؟,أتناول Flagyl ما مرة في اليوم؟,dosage,Flagyl
هل اوجمنتين مناسب لمرضى السكر؟,هل Augmentin مناسب لمرضى السكر؟,contraindication,Augmentin
بعد ما اخدت بنادول حسيت بتعب,بعد ما أتناولت Panadol حسيت بتعب,side_effects,Panadol
اقدر اخد فلاجيل و اسبرين مع بعض؟,اقدر أتناول Flagyl و Aspirin مع بعض؟,interaction,Flagyl|Aspirin
ينفع الحامل تاخد فلاجيل؟,هل يمكن الحامل تأتناول Flagyl؟,contraindication,Flagyl
ايه اعراض اوجمنتين الجانبية؟,ما هي اعراض Augmentin الجانبية؟,side_effects,Augmentin
الجرعة كام ل بروفين؟,الجرعة ما ل Brufen؟,dosage,Brufen
هل اسبرين خطر لمرضى الضغط؟,هل Aspirin خطر لمرضى الضغط؟,contraindication,Aspirin
طريقة استخدام فلاجيل ايه؟,طريقة استخدام Flagyl ما هي؟,dosage,Flagyl
هل زيرتك يتاخد مع بنادول؟,هل Zyrtec يتم تناوله مع Panadol؟,interaction,Zyrtec|Panadol
جرعة باراسيتامول للاطفال كام؟,جرعة Paracetamol للاطفال ما؟,dosage,Paracetamol
بعد ما اخدت بروفين حسيت بتعب,بعد ما أتناولت Brufen حسيت بتعب,side_effects,Brufen
بعد ما اخدت زيرتك حسيت بتعب,بعد ما أتناولت Zyrtec حسيت بتعب,side_effects,Zyrtec
هل بروفين يتاخد مع باراسيتامول؟,هل Brufen يتم تناوله مع Paracetamol؟,interaction,Brufen|Paracetamol
ينفع الحامل تاخد كونجستال؟,هل يمكن الحامل تأتناول Congestal؟,contraindication,Congestal
ينفع اخد جرعة من كونجستال؟,هل يمكن أتناول جرعة من Congestal؟,dosage,Congestal
طريقة استخدام بنادول ايه؟,طريقة استخدام Panadol ما هي؟,dosage,Panadol
بعد ما اخدت كونجستال حسيت بتعب,بعد ما أتناولت Congestal حسيت بتعب,side_effects,Congestal
هل الجمع بين باراسيتامول و بنادول خطر؟,هل الجمع بين Paracetamol و Panadol خطر؟,interaction,Paracetamol|Panadol
مين ممنوع ياخد زيرتك؟,مين ممنوع يأتناول Zyrtec؟,contraindication,Zyrtec
اخد بروفين كام مرة في اليوم؟,أتناول Brufen ما مرة في اليوم؟,dosage,Brufen
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
ينفع اخد جرعة من كونجستال؟,هل يمكن أتناول جرعة من Congestal؟,dosage,Congestal
اخد اوجمنتين كام مرة في اليوم؟,أتناول Augmentin ما مرة في اليوم؟,dosage,Augmentin
ينفع اخد فلاجيل مع باراسيتامول؟,هل يمكن أتناول Flagyl مع Paracetamol؟,interaction,Flagyl|Paracetamol
هل بروفين مناسب لمرضى السكر؟,هل Brufen مناسب لمرضى السكر؟,contraindication,Brufen
هل بنادول يسبب صداع؟,هل Panadol يسبب صداع؟,side_effects,Panadol
اوجمنتين ممكن يسبب دوخة؟,Augmentin ممكن يسبب دوخة؟,side_effects,Augmentin
مين ممنوع ياخد بروفين؟,مين ممنوع يأتناول Brufen؟,contraindication,Brufen
بعد ما اخدت بروفين حسيت بتعب,بعد ما أتناولت Brufen حسيت بتعب,side_effects,Brufen
في تفاعل بين زيرتك و باراسيتامول؟,في تفاعل بين Zyrtec و Paracetamol؟,interaction,Zyrtec|Paracetamol
اقدر اخد كونجستال و فلاجيل مع بعض؟,اقدر أتناول Congestal و Flagyl مع بعض؟,interaction,Congestal|Flagyl
هل اموكسيسيلين خطر لمرضى الضغط؟,هل Amoxicillin خطر لمرضى الضغط؟,contraindication,Amoxicillin
هل بروفين يتاخد مع اوجمنتين؟,هل Brufen يتم تناوله مع Augmentin؟,interaction,Brufen|Augmentin
هل اموكسيسيلين خطر لمرضى الضغط؟,هل Amoxicillin خطر لمرضى الضغط؟,contraindication,Amoxicillin
جرعة بروفين للاطفال كام؟,جرعة Brufen للاطفال ما؟,dosage,Brufen
ايه اعراض بروفين الجانبية؟,ما هي اعراض Brufen الجانبية؟,side_effects,Brufen
جرعة بنادول للاطفال كام؟,جرعة Panadol للاطفال ما؟,dosage,Panadol
اخد زيرتك كام مرة في اليوم؟,أتناول Zyrtec ما مرة في اليوم؟,dosage,Zyrtec
جرعة كونجستال للاطفال كام؟,جرعة Congestal للاطفال ما؟,dosage,Congestal
هل باراسيتامول يسبب صداع؟,هل Paracetamol يسبب صداع؟,side_effects,Paracetamol
ايه اعراض بنادول الجانبية؟,ما هي اعراض Panadol الجانبية؟,side_effects,Panadol
ينفع اخد بنادول مع فلاجيل؟,هل يمكن أتناول Panadol مع Flagyl؟,interaction,Panadol|Flagyl
بعد ما اخدت فلاجيل حسيت بتعب,بعد ما أتناولت Flagyl حسيت بتعب,side_effects,Flagyl
هل زيرتك خطر على الكلى؟,هل Zyrtec خطر على الكلى؟,contraindication,Zyrtec
هل باراسيتامول يسبب صداع؟,هل Paracetamol يسبب صداع؟,side_effects,Paracetamol
اخد كتافلام كام مرة في اليوم؟,أتناول Cataflam ما مرة في اليوم؟,dosage,Cataflam
جرعة اسبرين للاطفال كام؟,جرعة Aspirin للاطفال ما؟,dosage,Aspirin
هل فلاجيل خطر على الكلى؟,هل Flagyl خطر على الكلى؟,contraindication,Flagyl
في تفاعل بين اموكسيسيلين و بنادول؟,في تفاعل بين Amoxicillin و Panadol؟,interaction,Amoxicillin|Panadol
هل بروفين يتاخد مع زيرتك؟,هل Brufen يتم تناوله مع Zyrtec؟,interaction,Brufen|Zyrtec
هل اسبرين يتاخد مع اموكسيسيلين؟,هل Aspirin يتم تناوله مع Amoxicillin؟,interaction,Aspirin|Amoxicillin
ينفع اخد جرعة من اوجمنتين؟,هل يمكن أتناول جرعة من Augmentin؟,dosage,Augmentin
هل الجمع بين بنادول و بروفين خطر؟,هل الجمع بين Panadol و Brufen خطر؟,interaction,Panadol|Brufen
اخد بنادول كام مرة في اليوم؟,أتناول Panadol ما مرة في اليوم؟,dosage,Panadol
هل كتافلام مناسب لمرضى السكر؟,هل Cataflam مناسب لمرضى السكر؟,contraindication,Cataflam
اخد اسبرين كام مرة في اليوم؟,أتناول Aspirin ما مرة في اليوم؟,dosage,Aspirin
ينفع اخد اسبرين مع بروفين؟,هل يمكن أتناول Aspirin مع Brufen؟,interaction,Aspirin|Brufen
اخد زيرتك كام مرة في اليوم؟,أتناول Zyrtec ما مرة في اليوم؟,dosage,Zyrtec
هل باراسيتامول خطر لمرضى الضغط؟,هل Paracetamol خطر لمرضى الضغط؟,contraindication,Paracetamol
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
هل كونجستال مناسب لمرضى السكر؟,هل Congestal مناسب لمرضى السكر؟,contraindication,Congestal
طريقة استخدام اوجمنتين ايه؟,طريقة استخدام Augmentin ما هي؟,dosage,Augmentin
هل باراسيتامول خطر لمرضى الضغط؟,هل Paracetamol خطر لمرضى الضغط؟,contraindication,Paracetamol
ينفع اخد باراسيتامول مع زيرتك؟,هل يمكن أتناول Paracetamol مع Zyrtec؟,interaction,Paracetamol|Zyrtec
بنادول بيعمل نعاس؟,Panadol يسبب نعاس؟,side_effects,Panadol
ينفع اخد جرعة من بروفين؟,هل يمكن أتناول جرعة من Brufen؟,dosage,Brufen
ايه اعراض بروفين الجانبية؟,ما هي اعراض Brufen الجانبية؟,side_effects,Brufen
في تفاعل بين بروفين و اموكسيسيلين؟,في تفاعل بين Brufen و Amoxicillin؟,interaction,Brufen|Amoxicillin
طريقة استخدام كونجستال ايه؟,طريقة استخدام Congestal ما هي؟,dosage,Congestal
زيرتك ممكن يسبب دوخة؟,Zyrtec ممكن يسبب دوخة؟,side_effects,Zyrtec
ايه اعراض زيرتك الجانبية؟,ما هي اعراض Zyrtec الجانبية؟,side_effects,Zyrtec
ينفع اخد زيرتك مع كونجستال؟,هل يمكن أتناول Zyrtec مع Congestal؟,interaction,Zyrtec|Congestal
هل الجمع بين كتافلام و فلاجيل خطر؟,هل الجمع بين Cataflam و Flagyl خطر؟,interaction,Cataflam|Flagyl
هل بنادول خطر على الكلى؟,هل Panadol خطر على الكلى؟,contraindication,Panadol
مين ممنوع ياخد بنادول؟,مين ممنوع يأتناول Panadol؟,contraindication,Panadol
طريقة استخدام اموكسيسيلين ايه؟,طريقة استخدام Amoxicillin ما هي؟,dosage,Amoxicillin
جرعة اسبرين للاطفال كام؟,جرعة Aspirin للاطفال ما؟,dosage,Aspirin
هل بروفين خطر على الكلى؟,هل Brufen خطر على الكلى؟,contraindication,Brufen
هل الجمع بين فلاجيل و اموكسيسيلين خطر؟,هل الجمع بين Flagyl و Amoxicillin خطر؟,interaction,Flagyl|Amoxicillin
هل زيرتك خطر لمرضى الضغط؟,هل Zyrtec خطر لمرضى الضغط؟,contraindication,Zyrtec
هل الجمع بين اموكسيسيلين و بروفين خطر؟,هل الجمع بين Amoxicillin و Brufen خطر؟,interaction,Amoxicillin|Brufen
بعد ما اخدت اوجمنتين حسيت بتعب,بعد ما أتناولت Augmentin حسيت بتعب,side_effects,Augmentin
ينفع الحامل تاخد بنادول؟,هل يمكن الحامل تأتناول Panadol؟,contraindication,Panadol
جرعة كتافلام للاطفال كام؟,جرعة Cataflam للاطفال ما؟,dosage,Cataflam
ينفع اخد اموكسيسيلين مع اسبرين؟,هل يمكن أتناول Amoxicillin مع Aspirin؟,interaction,Amoxicillin|Aspirin
هل الجمع بين اموكسيسيلين و فلاجيل خطر؟,هل الجمع بين Amoxicillin و Flagyl خطر؟,interaction,Amoxicillin|Flagyl
هل فلاجيل يسبب صداع؟,هل Flagyl يسبب صداع؟,side_effects,Flagyl
هل فلاجيل خطر لمرضى الضغط؟,هل Flagyl خطر لمرضى الضغط؟,contraindication,Flagyl
هل زيرتك يسبب صداع؟,هل Zyrtec يسبب صداع؟,side_effects,Zyrtec
اقدر اخد اسبرين و كونجستال مع بعض؟,اقدر أتناول Aspirin و Congestal مع بعض؟,interaction,Aspirin|Congestal
اخد كونجستال كام مرة في اليوم؟,أتناول Congestal ما مرة في اليوم؟,dosage,Congestal
كتافلام ممكن يسبب دوخة؟,Cataflam ممكن يسبب دوخة؟,side_effects,Cataflam
اقدر اخد بنادول و اسبرين مع بعض؟,اقدر أتناول Panadol و Aspirin مع بعض؟,interaction,Panadol|Aspirin
هل الجمع بين فلاجيل و بنادول خطر؟,هل الجمع بين Flagyl و Panadol خطر؟,interaction,Flagyl|Panadol
ينفع اخد جرعة من اوجمنتين؟,هل يمكن أتناول جرعة من Augmentin؟,dosage,Augmentin
ينفع الحامل تاخد اوجمنتين؟,هل يمكن الحامل تأتناول Augmentin؟,contraindication,Augmentin
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
هل الجمع بين زيرتك و بروفين خطر؟,هل الجمع بين Zyrtec و Brufen خطر؟,interaction,Zyrtec|Brufen
ينفع اخد جرعة من بنادول؟,هل يمكن أتناول جرعة من Panadol؟,dosage,Panadol
الجرعة كام ل كونجستال؟,الجرعة ما ل Congestal؟,dosage,Congestal
في تفاعل بين زيرتك و باراسيتامول؟,في تفاعل بين Zyrtec و Paracetamol؟,interaction,Zyrtec|Paracetamol
الجرعة كام ل باراسيتامول؟,الجرعة ما ل Paracetamol؟,dosage,Paracetamol
اقدر اخد فلاجيل و زيرتك مع بعض؟,اقدر أتناول Flagyl و Zyrtec مع بعض؟,interaction,Flagyl|Zyrtec
اخد اسبرين كام مرة في اليوم؟,أتناول Aspirin ما مرة في اليوم؟,dosage,Aspirin
هل باراسيتامول يتاخد مع كونجستال؟,هل Paracetamol يتم تناوله مع Congestal؟,interaction,Paracetamol|Congestal
مين ممنوع ياخد كونجستال؟,مين ممنوع يأتناول Congestal؟,contraindication,Congestal
هل الجمع بين اوجمنتين و فلاجيل خطر؟,هل الجمع بين Augmentin و Flagyl خطر؟,interaction,Augmentin|Flagyl
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
هل اسبرين يتاخد مع بنادول؟,هل Aspirin يتم تناوله مع Panadol؟,interaction,Aspirin|Panadol
في تفاعل بين كونجستال و باراسيتامول؟,في تفاعل بين Congestal و Paracetamol؟,interaction,Congestal|Paracetamol
في تفاعل بين اوجمنتين و باراسيتامول؟,في تفاعل بين Augmentin و Paracetamol؟,interaction,Augmentin|Paracetamol
اخد زيرتك كام مرة في اليوم؟,أتناول Zyrtec ما مرة في اليوم؟,dosage,Zyrtec
هل فلاجيل مناسب لمرضى السكر؟,هل Flagyl مناسب لمرضى السكر؟,contraindication,Flagyl
هل بنادول يتاخد مع اسبرين؟,هل Panadol يتم تناوله مع Aspirin؟,interaction,Panadol|Aspirin
زيرتك بيعمل نعاس؟,Zyrtec يسبب نعاس؟,side_effects,Zyrtec
ينفع الحامل تاخد فلاجيل؟,هل يمكن الحامل تأتناول Flagyl؟,contraindication,Flagyl
كونجستال بيعمل نعاس؟,Congestal يسبب نعاس؟,side_effects,Congestal
ينفع اخد جرعة من كونجستال؟,هل يمكن أتناول جرعة من Congestal؟,dosage,Congestal
اسبرين ممكن يسبب دوخة؟,Aspirin ممكن يسبب دوخة؟,side_effects,Aspirin
هل بنادول خطر لمرضى الضغط؟,هل Panadol خطر لمرضى الضغط؟,contraindication,Panadol
هل الجمع بين زيرتك و اموكسيسيلين خطر؟,هل الجمع بين Zyrtec و Amoxicillin خطر؟,interaction,Zyrtec|Amoxicillin
مين ممنوع ياخد كتافلام؟,مين ممنوع يأتناول Cataflam؟,contraindication,Cataflam
اقدر اخد بنادول و كتافلام مع بعض؟,اقدر أتناول Panadol و Cataflam مع بعض؟,interaction,Panadol|Cataflam
بعد ما اخدت زيرتك حسيت بتعب,بعد ما أتناولت Zyrtec حسيت بتعب,side_effects,Zyrtec
مين ممنوع ياخد اموكسيسيلين؟,مين ممنوع يأتناول Amoxicillin؟,contraindication,Amoxicillin
طريقة استخدام كونجستال ايه؟,طريقة استخدام Congestal ما هي؟,dosage,Congestal
هل باراسيتامول خطر على الكلى؟,هل Paracetamol خطر على الكلى؟,contraindication,Paracetamol
ينفع اخد جرعة من اسبرين؟,هل يمكن أتناول جرعة من Aspirin؟,dosage,Aspirin
في تفاعل بين باراسيتامول و اموكسيسيلين؟,في تفاعل بين Paracetamol و Amoxicillin؟,interaction,Paracetamol|Amoxicillin
بعد ما اخدت باراسيتامول حسيت بتعب,بعد ما أتناولت Paracetamol حسيت بتعب,side_effects,Paracetamol
هل اموكسيسيلين يسبب صداع؟,هل Amoxicillin يسبب صداع؟,side_effects,Amoxicillin
فلاجيل ممكن يسبب دوخة؟,Flagyl ممكن يسبب دوخة؟,side_effects,Flagyl
اسبرين بيعمل نعاس؟,Aspirin يسبب نعاس؟,side_effects,Aspirin
مين ممنوع ياخد بنادول؟,مين ممنوع يأتناول Panadol؟,contraindication,Panadol
هل اوجمنتين خطر على الكلى؟,هل Augmentin خطر على الكلى؟,contraindication,Augmentin
هل زيرتك يتاخد مع كتافلام؟,هل Zyrtec يتم تناوله مع Cataflam؟,interaction,Zyrtec|Cataflam
اخد اموكسيسيلين كام مرة في اليوم؟,أتناول Amoxicillin ما مرة في اليوم؟,dosage,Amoxicillin
هل بنادول خطر على الكلى؟,هل Panadol خطر على الكلى؟,contraindication,Panadol
في تفاعل بين فلاجيل و بنادول؟,في تفاعل بين Flagyl و Panadol؟,interaction,Flagyl|Panadol
هل الجمع بين بروفين و فلاجيل خطر؟,هل الجمع بين Brufen و Flagyl خطر؟,interaction,Brufen|Flagyl
جرعة فلاجيل للاطفال كام؟,جرعة Flagyl للاطفال ما؟,dosage,Flagyl
هل زيرتك يتاخد مع كونجستال؟,هل Zyrtec يتم تناوله مع Congestal؟,interaction,Zyrtec|Congestal
طريقة استخدام زيرتك ايه؟,طريقة استخدام Zyrtec ما هي؟,dosage,Zyrtec
جرعة كتافلام للاطفال كام؟,جرعة Cataflam للاطفال ما؟,dosage,Cataflam
بروفين ممكن يسبب دوخة؟,Brufen ممكن يسبب دوخة؟,side_effects,Brufen
هل الجمع بين كونجستال و فلاجيل خطر؟,هل الجمع بين Congestal و Flagyl خطر؟,interaction,Congestal|Flagyl
الجرعة كام ل باراسيتامول؟,الجرعة ما ل Paracetamol؟,dosage,Paracetamol
طريقة استخدام اسبرين ايه؟,طريقة استخدام Aspirin ما هي؟,dosage,Aspirin
مين ممنوع ياخد بروفين؟,مين ممنوع يأتناول Brufen؟,contraindication,Brufen
ايه اعراض باراسيتامول الجانبية؟,ما هي اعراض Paracetamol الجانبية؟,side_effects,Paracetamol
هل باراسيتامول مناسب لمرضى السكر؟,هل Paracetamol مناسب لمرضى السكر؟,contraindication,Paracetamol
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
ينفع الحامل تاخد بنادول؟,هل يمكن الحامل تأتناول Panadol؟,contraindication,Panadol
هل الجمع بين كونجستال و باراسيتامول خطر؟,هل الجمع بين Congestal و Paracetamol خطر؟,interaction,Congestal|Paracetamol
بروفين ممكن يسبب دوخة؟,Brufen ممكن يسبب دوخة؟,side_effects,Brufen
ينفع اخد كونجستال مع اسبرين؟,هل يمكن أتناول Congestal مع Aspirin؟,interaction,Congestal|Aspirin
بعد ما اخدت اسبرين حسيت بتعب,بعد ما أتناولت Aspirin حسيت بتعب,side_effects,Aspirin
اوجمنتين بيعمل نعاس؟,Augmentin يسبب نعاس؟,side_effects,Augmentin
هل اسبرين خطر على الكلى؟,هل Aspirin خطر على الكلى؟,contraindication,Aspirin
باراسيتامول ممكن يسبب دوخة؟,Paracetamol ممكن يسبب دوخة؟,side_effects,Paracetamol
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
