text,normalized_text,intent,drug_entities,generic_name
باخد سيبرالكس من أسبوعين وحاسس بغثيان وصداع، دا طبيعي,هل الغثيان والصداع من الأعراض الجانبية الطبيعية لدواء سيبرالكس,side_effects,سيبرالكس,Escitalopram
هل حبوب منع الحمل الطارئ بوستينور بتتاخد بعد العلاقة بقد إيه,ما هي المدة المسموحة لتناول حبوب منع الحمل الطارئ بوستينور بعد العلاقة,dosage,بوستينور,Levonorgestrel
أختي بتستخدم كريستور من سنين وحاسه بألم في عضلات فخذها، ممكن يكون من الدواء,هل يمكن أن يكون ألم عضلات الفخذ من الآثار الجانبية لدواء كريستور,side_effects,كريستور,Rosuvastatin
أثناء الحمل الدكاترة قالولي كتافلام ممنوع، بس أنا حاسة بآلم في ضرس,هل يمكن تناول مسكن كتافلام لآلام الأسنان أثناء الحمل,contraindication,كتافلام,Diclofenac
حابة أعرف لو في بديل طبيعي لدواء زيرتيك لحساسية الأنف,هل توجد بدائل طبيعية لدواء زيرتيك لعلاج حساسية الأنف,general_info,زيرتيك,Cetirizine
والدي بياخد بلافيكس بعد ما اتعمل له دعامة قلبية من 3 شهور، كام شهر تاني محتاج ياخده,ما هي المدة الإجمالية الموصى بها لاستخدام بلافيكس بعد تركيب الدعامة القلبية,dosage,بلافيكس,Clopidogrel
أنا عندي ربو وجالي برد شديد، أستخدم فنتولين بكثرة عادي ولا خطر,هل الاستخدام المفرط لبخاخ فنتولين أثناء نزلات البرد آمن,contraindication,فنتولين,Salbutamol
جارتي بتستخدم جلوكوفاج وتقول لي إنه بيخليها تنحف، دا بيحصل ليه,لماذا يسبب دواء جلوكوفاج فقدان الوزن لدى بعض المرضى,general_info,جلوكوفاج,Metformin
الليبراكس لو خدت جرعة زيادة قد إيه هتأثر عليا,ما هي أعراض جرعة زائدة من دواء ليبراكس,side_effects,ليبراكس,Alprazolam
حماتي عندها روماتويد ودكتورها كتبلها ميثوتريكسات، إيه الأعضاء اللي لازم نتابعها,ما هي الفحوصات الدورية التي يجب إجراؤها لمتابعة تأثير ميثوتريكسات على الجسم,contraindication,ميثوتريكسات,Methotrexate
خالتي عندها شوكة عظمية ودكتور قالها كتافلام جل. هو بينفع ولا هيحسسنها,هل جل كتافلام فعال لعلاج آلام الشوكة العظمية,general_info,كتافلام,Diclofenac
جوزي بياخد أموكسيسيلين والنهاردة شرب كحول، فيه خطر,هل تناول الكحول مع مضاد أموكسيسيلين الحيوي يشكل خطرًا على الصحة,interaction,أموكسيسيلين,Amoxicillin
أنا حامل في الشهر الثالث وعندي ارتفاع بسيط في الضغط، الدكتور كتبلي نورفاسك، هل هو آمن حقًا,هل دواء نورفاسك آمن للاستخدام لعلاج ارتفاع ضغط الدم أثناء الحمل,contraindication,نورفاسك,Amlodipine
ولدى عنده نزلة معوية وإسهال، ممكن أدي له ايميوم ولا مينفعش,هل يمكن إعطاء دواء ايميوم للطفل لعلاج الإسهال,contraindication,ايميوم,Loperamide
أنا مريض سكر وبياخد إنسولين، هل في وقت معين أفضل لحقن الإنسولين,ما هو أفضل وقت لحقن الإنسولين لمرضى السكري,administration,إنسولين,Insulin
بدات أستخدم ليريكا من 3 أيام لآلام الأعصاب وحاسس بدوخة ونعاس,هل الدوخة والنعاس من الأعراض الجانبية المتوقعة لدواء ليريكا,side_effects,ليريكا,Pregabalin
سمعت أن دواء كالسيوم ساندوز مع فيتامين د بيزود امتصاصه، هل في طريقة معينة,هل يؤثر كالسيوم ساندوز مع فيتامين د على امتصاصهما,interaction,كالسيوم ساندوز,Calcium carbonate
أبني دخل المدرسة وبيجيله حساسية من الغبرة، الدكتور كتبله كلاريتين. شربه بيساعد ولا لأ,هل شراب كلاريتين فعال في علاج حساسية الغبار للأطفال,general_info,كلاريتين,Loratadine
أنا بستعمل سبيريفا جهاز لمرض الانسداد الرئوي، ممكن أستخدمه في أي وقت,ما هو أفضل وقت لاستخدام جهاز سبيريفا لعلاج مرض الانسداد الرئوي,administration,سبيريفا,Tiotropium
البانادول هو نفسه الكالبول ولا في فرق,هل يختلف دواء بانادول عن دواء كالبول في التركيب,general_info,بانادول,Paracetamol
زوجتي حامل في الشهر الرابع وبتستخدم زيرتيك عشان حساسية عندها، هل آمن,هل دواء زيرتيك آمن للاستخدام خلال الأشهر الوسطى من الحمل,contraindication,زيرتيك,Cetirizine
أمي عندها جلطة في الساق وبتاخد وارفارين، وبتعاني من إمساك شديد، ممكن تاخد لاكتولوز,هل يمكن تناول دواء لاكتولوز لعلاج الإمساك مع دواء وارفارين,interaction,وارفارين,Warfarin
والدي بياخد أتورفاستاتين وحكالي إنه حاسس بضيق في التنفس، يمكن من الدواء,هل يمكن أن يسبب دواء أتورفاستاتين أعراضًا جانبية مثل ضيق التنفس,side_effects,أتورفاستاتين,Atorvastatin
أنا متزوج جديد ومراتي بتستعمل حبوب منع حمل ميكروجينون وفاتها يومين، إيه العمل,ما هي التعليمات المتبعة عند نسيان تناول حبوب منع الحمل ميكروجينون لمدة يومين,dosage,ميكروجينون,Levonorgestrel-Ethinylestradiol
أنا حساس من البنسلين، واخد روشتة فيها أموكسيسيلين، ممنوع عليا,هل يُمنع تناول أموكسيسيلين للمرضى الذين يعانون من حساسية البنسلين,contraindication,أموكسيسيلين,Amoxicillin
واد عندي عنده حساسية في الجلد من الكريمات، مرهم بيتنوفيت ينفع معاه,هل مرهم بيتنوفيت فعال لعلاج الحساسية الجلدية,general_info,بيتنوفيت,Betamethasone
ابني الصغير عنده إلتهاب في الأذن الوسطى، الدكتور كتبله أوجمنتين. محتاج أعرفه قد إيه مدة العلاج,ما هي مدة العلاج اللازمة لدواء أوجمنتين لالتهاب الأذن الوسطى للأطفال,dosage,أوجمنتين,Amoxicillin-Clavulanate
جارتنا بتستخدم فيروجلوبين عشان الأنيميا عندها، هي حامل في الشهر السابع، هل آمن,هل دواء فيروجلوبين آمن للاستخدام أثناء الحمل لعلاج الأنيميا,contraindication,فيروجلوبين,Iron-Vitamin B complex
أنا مريض صرع من زمان وبياخد تيجريتول، أقدر أغير لدواء تاني بدون ما أراجع دكتور,هل يمكن تغيير دواء الصرع تيجريتول إلى دواء آخر دون استشارة الطبيب,contraindication,تيجريتول,Carbamazepine
أختي تعاني من الصدفية، ودكتور الجلدية كتب لها أولانزابين، هل دا صح,هل دواء أولانزابين مناسب لعلاج الصدفية,general_info,أولانزابين,Olanzapine
زوجي تعب في العضلات من أسبوع ودكتور العظام كتب له بروفين، بس هو بياخد مميعات دم,هل يمكن تناول بروفين مع أدوية مميعات الدم بأمان,interaction,بروفين,Ibuprofen
أمي عندها سكر النوع التاني، وبقالها فترة بتاخد جليمبرايد ومستواها مش ثابت,ما هي الأسباب المحتملة لعدم انتظام مستوى السكر بالدم مع دواء جليمبيريد,general_info,جليمبرايد,Glimepiride
أنا شخص عايز أنزل وزني، قرأت إن جلوكوفاج بينحف، هل أنفع أستعمله,هل يمكن استخدام دواء جلوكوفاج لفقدان الوزن في غير مرضى السكري,contraindication,جلوكوفاج,Metformin
الداي لكن عندي ارتفاع في الكولسترول وبياخد كريستور، ظهرت عنده بقع في العين,هل يمكن أن يسبب دواء كريستور ظهور بقع في العين,side_effects,كريستور,Rosuvastatin
أنا ست حامل في الشهر التاني وباخد فولفيت وقريت انه بيحمي الجنين من التشوهات,هل تناول فولفيت أثناء الحمل يحمي الجنين من التشوهات الخلقية,general_info,فولفيت,Folic acid
ولدى الصغير عنده حرارة شديدة وإسهال، الدكتور قال ممكن بانادول مع بيدياليت,هل يمكن إعطاء الطفل بانادول وبيدياليت معًا لعلاج الحرارة والإسهال,interaction,بانادول,Paracetamol
أنا مريض فشل كلوي ودكاترتي قالت ممنوع عليا بروفين وأدفيل,لماذا يُمنع دواء بروفين وأدفيل على مرضى الفشل الكلوي,contraindication,بروفين,Ibuprofen
سمعت أن دواء ريجين لعلاج الصلع، بس أنا ست، هل ينفع لي,هل يمكن للنساء استخدام محلول ريجين الموضعي لعلاج تساقط الشعر,contraindication,ريجين,Minoxidil
جدي كبير في السن وأخذ روشتة عيادة الأسنان فيها تيربينافين، بس عنده كبد دهني، خطر عليه,هل دواء تيربينافين آمن لمرضى الكبد الدهني,contraindication,تيربينافين,Terbinafine
أنا بستعمل كريم أساس، هل ينفع أدهن كانستن كريم معاه على وشي,هل يمكن استخدام كريم كانستن الموضعي مع مستحضرات التجميل الأساس,administration,كانستن,Clotrimazole
والدي عنده ألم في الركبة وجرب فاستوم جل ولقى نتيجة كويسة، اقدر استخدمه كل يوم,هل يمكن استخدام فاستوم جل يوميًا لعلاج آلام الركبة,dosage,فاستوم جل,Ketoprofen
أختي في فترة الرضاعة وشعرت بحكة وطفح جلدي، هل دواء تليفاست آمن ليها,هل دواء تليفاست آمن للاستخدام أثناء فترة الرضاعة الطبيعية,contraindication,تليفاست,Fexofenadine
أنا شاب عمري 25 سنة وبعاني من تساقط الشعر، هل دواء بروبيسيا هينفع معايا,هل دواء بروبيسيا فعال لعلاج تساقط الشعر عند الشباب,general_info,بروبيسيا,Finasteride
حماتي عندها التهاب في المثانة ودكتور المسالك كتب لها سيبروكسين، بس هي بتاخد جلوكوفاج,هل يتعارض دواء سيبروكسين مع دواء جلوكوفاج لمرضى السكري,interaction,سيبروكسين,Ciprofloxacin
إبني عنده 7 سنين ووزنه 25 كجم، وبياخد أموكسيل شراب، جرعته كام,ما هي جرعة شراب أموكسيل المناسبة لطفل عمره 7 سنوات ووزنه 25 كيلوجرام,dosage,أموكسيل,Amoxicillin
أنا باخد إنسولين وحصل معايا إغماء واتنقلت المستشفى، طلع نقص سكر شديد,ما هي أعراض نقص السكر الشديد الناتج عن جرعة زائدة من الإنسولين,side_effects,إنسولين,Insulin
جارتي حامل في الشهر الخامس وعندها قولون عصبي، وبتاخد بوسكوبان، خلاص ولا خطورة,هل دواء بوسكوبان آمن للاستخدام لعلاج القولون العصبي أثناء الحمل,contraindication,بوسكوبان,Hyoscine butylbromide
أنا مريض ربو وبستخدم سريتيدي مرتين في اليوم، جالي برد وفنتولين مش ماسكني,ماذا أفعل إذا لم يعد بخاخ فنتولين يسيطر على أعراض الربو أثناء نزلة البرد,general_info,سريتيدي,Fluticasone-Salmeterol
والدي تعب في العضلات من فترة ودكتور العظام المحترم كتب له كتافاست جل، مينفعش ياخد حبوب,هل هناك فرق بين جل كتافاست وأقراص كتافاست في العلاج,general_info,كتافاست,Ketoprofen
أنا حامل وعندي فقر دم من النوع المنجلي، وصفولي فولفيت، لا إله إلا أنت,هل فولفيت آمن وفعال لعلاج فقر الدم المنجلي أثناء الحمل,general_info,فولفيت,Folic acid
ابني عنده أنيميا الفول، ممكن ياخد فيروجلوبين ولا يمنع,هل يُمنع دواء فيروجلوبين على مرضى أنيميا الفول,contraindication,فيروجلوبين,Iron-Vitamin B complex
أنا مريض ضغط وكوليسترول وباخد كوزار وليبيتور، لكن قلقان من السكري,هل هناك خطر من أن الأدوية الخافضة للضغط والكوليسترول تسبب مرض السكري,general_info,كوزار,Losartan
أنا حامل في الشهور الأولى وكنت باخد أوميبرازول قبل الحمل. أوقفه لوحدي ولا أنتظر,هل يجب إيقاف دواء أوميبرازول فور اكتشاف الحمل,contraindication,أوميبرازول,Omeprazole
أنا مريض صرع وباخد لاميكتال، وفاتتني جرعة امبارح، أعمل إيه دلوقتي,ما هي خطوات التعامل مع نسيان جرعة دواء لاميكتال للصرع,dosage,لاميكتال,Lamotrigine
أختي الصغيرة عندها صدفية في فروة الرأس، ممكن نستخدم بيتنوفيت كريم لعلاجها,هل كريم بيتنوفيت مناسب لعلاج الصدفية في فروة الرأس,general_info,بيتنوفيت,Betamethasone
أنا مريض أعصاب وباخد ليريكا وزاناكس مع بعض، الدكتور قال لي عادي,هل خلط دواء ليريكا مع زاناكس آمن,interaction,ليريكا,Pregabalin
والدي كبير في السن وعنده تضخم بروستاتا، بياخد هارنال وتحسن شوية، هل يفضل يزود الجرعة,هل يمكن زيادة جرعة دواء هارنال إذا لم تكن الجرعة الحالية كافية,contraindication,هارنال,Tamsulosin
والدتي عندها ألم في مفاصل الركبة وبيجيها تورم، الأطباء وصفوا فاستوم جل وديكلوفين,هل يمكن استخدام فاستوم جل وديكلوفين معًا لعلاج آلام وتورم المفصل,interaction,فاستوم جل,Ketoprofen
أنا مريض سكر النوع التاني ومش عارف أتحكم في السكر، الدكتور فكر يضيف لي جانوفيا مع الجلوكوفاج,هل دواء جانوفيا فعال كعلاج إضافي مع جلوكوفاج لمرضى السكر,general_info,جانوفيا,Sitagliptin
أنا مرضع وطفلي عنده مغص، سمعت أن كام زيت الشمر بينفع، بس محتاجة حاجة طبية,هل هناك دواء طبي آمن لعلاج مغص الرضع أثناء الرضاعة,general_info,لا يوجد,لا يوجد
أنا عندي حساسية شديدة من البنسلين، وعندي التهاب في اللوزتين، الدكتور وصفلي زيثروماكس، ينفع,هل دواء زيثروماكس آمن للمرضى الذين يعانون من حساسية البنسلين,contraindication,زيثروماكس,Azithromycin
أنا باخد وارفارين وعندي ألم في الأسنان، الدكتور صرفلي بروفين، ما الحل الأمثل,ما هي المسكنات الآمنة لمرضى الوارفارين بدلاً من الإيبوبروفين,interaction,وارفارين,Warfarin
أنا ست حامل في الشهر التاسع وعندي ألم شديد في الظهر، الدكتور كتبلي كتافلام، لكن أنا قلقة,هل من الآمن استخدام كتافلام لآلام الظهر في الشهر التاسع من الحمل,contraindication,كتافلام,Diclofenac
أنا عندي ديدان في البراز، هل أستطيع أخذ زينتيل مرة واحدة فقط,هل جرعة واحدة من دواء زينتيل كافية للتخلص من الديدان,dosage,زينتيل,Albendazole
أنا بستخدم كوزوبت نقط للعين من سنتين، الدكتور قال لي محتاج أروح أعمل قياس ضغط العين,ما أهمية قياس ضغط العين بشكل دوري أثناء استخدام نقط كوزوبت,contraindication,كوزوبت,Dorzolamide-Timolol
أنا عندي حساسية من الصيف، كل سنة بتجيلي تورم وعيوني تدمع، أفضل دواء لوراتادين ولا سيتريزين,مقارنة بين دواء لوراتادين وسيتريزين لعلاج حساسية الصيف,general_info,لوراتادين,Loratadine
مراتي حامل وعندها سكر الحمل، الطبيب قرر يبدأ معاها إنسولين، هل في احتياطات معينة,ما هي الاحتياطات الواجب اتباعها عند بدء علاج الإنسولين لسكر الحمل,contraindication,إنسولين,Insulin
أنا مريض كلى مزمن وبياخد جليمبرايد، عايز أعرف تأثير الجليمبرايد على الكلى,هل يمكن أن يؤثر دواء جليمبرايد سلبًا على وظائف الكلى,side_effects,جليمبرايد,Glimepiride
أنا مريض ضغط وبياخد كونكور، العالم حابة أعرف إذا كان يؤثر على القدرة الجنسية,هل يمكن أن يؤثر دواء كونكور سلبًا على القدرة الجنسية,side_effects,كونكور,Bisoprolol
أنا مريض قلق وباخد زاناكس، الدكتور حذرني من وقفه فجأة، لماذا,ما هي مخاطر التوقف المفاجئ عن تناول دواء زاناكس,contraindication,زاناكس,Alprazolam
والدي عنده ارتفاع في ضغط الدم وبياخد هايزار من سنوات، هل ممكن نوقف الدواء إذا استقر الضغط,هل يمكن إيقاف دواء هايزار بمجرد استقرار مستوى ضغط الدم,contraindication,هايزار,Losartan
أنا مريض روماتويد وباخد ميثوتريكسات، حصل حمل مفاجئ، هل أستمر على الدواء,هل دواء ميثوتريكسات آمن للاستمرار عليه أثناء الحمل,contraindication,ميثوتريكسات,Methotrexate
أنا باخد أتورفاستاتين وسمعت لو أكلت جريب فروت معاه بيزيد مفعوله ويضر,هل تناول الجريب فروت مع أتورفاستاتين يشكل خطرًا على الصحة,interaction,أتورفاستاتين,Atorvastatin
أنا عندي صداع نصفي مزمن، الدكتور صرف لي سوماتريبتان، هل هو آمن لمرضى القلب,هل دواء سوماتريبتان آمن للمرضى الذين يعانون من أمراض القلب,contraindication,سوماتريبتان,Sumatriptan
أنا شخص عصبي جدًا وبيجيله نوبات هلع، الدكتور كتب لي سيبرالكس. من فضلك شرح طريقة استخدامه,ما هي طريقة استخدام دواء سيبرالكس لعلاج نوبات الهلع والقلق,dosage,سيبرالكس,Escitalopram
أنا مريض سكر النوع الأول، والدكتور وصف لي إنسولين لانتوس. الفرق بينه وبين الإنسولين العادي,ما الفرق بين إنسولين لانتوس طويل المدى والإنسولين العادي سريع المفعول,general_info,لانتوس,Insulin glargine
أنا مريض ضغط عالي ودكاترة كتبتلي كوزار وجلوكوفاج مع بعض، بستغرب شوية,لماذا يصف الطبيب دواء كوزار مع جلوكوفاج لمرضى الضغط والسكري,general_info,كوزار,Losartan
أنا ست حامل في الشهر الأول وعندي نزلة برد شديدة، هل أستطيع تناول فيتامين دي 50000,هل تناول جرعة عالية من فيتامين دي آمن في الشهر الأول من الحمل,general_info,فيتامين دي 50000,Cholecalciferol
أنا والد عنده ربو حاد ودكتوره كتب له سريتيدي جهاز بس هو مش فاهم طريقة استخدامه الصح,ما هي الطريقة الصحيحة لاستخدام جهاز سريتيدي لعلاج الربو الحاد,administration,سريتيدي,Fluticasone-Salmeterol
أنا عندي ألم الأعصاب بسبب السكري، الدكتور وصف لي ليريكا لكن السعر غالي، هل في بديل أوفر,هل توجد بدائل أقل سعرًا لدواء ليريكا لعلاج ألم الأعصاب السكري,general_info,ليريكا,Pregabalin
أختى كانت بتستخدم ايميوم كبسولات لإسهال المسافرين، جالتها حرارة عالية وإسهال مختلط بالدم، أوقف الدواء,هل يجب إيقاف دواء ايميوم عند ظهور أعراض مثل الحرارة أو الدم في البراز,contraindication,ايميوم,Loperamide
أنا مريض فشل في القلب وباخذ كونكور وفوريكس، طلب تحليل بوتاسيوم، ليه,ما أهمية فحص البوتاسيوم لمرضى الفشل القلبي الذين يتناولون كونكور وفوريكس,general_info,كونكور,Bisoprolol
أنا مريض جيوب أنفية تحسسية مزمنة، الدكتور كتبلي أفامايس بخاخ، بس مش عارفة أستعمله,ما هي الطريقة الصحيحة لاستخدام بخاخ أفامايس لعلاج الجيوب الأنفية التحسسية,administration,أفامايس,Fluticasone
أنا مريض نفسي بقالي فترة بتعاطى زاناكس ومش عارف أسيب، هل في طريقة آمنة للإقلاع,ما هي أفضل الطرق الآمنة للتوقف عن تناول دواء زاناكس بعد الاستخدام المطول,contraindication,زاناكس,Alprazolam
أبي عنده حصوة في المرارة وصرف له الدكتور أورسوفالك، بس هو خايف من المغص,هل دواء أورسوفالك فعال في تفتيت حصوات المرارة وتخفيف المغص,general_info,أورسوفالك,Ursodeoxycholic acid
أنا مرضع وأرضع ابني طبيعي، عندي برد شديد مع كحة، ايه الدواء المناسب,ما هو الدواء الآمن لعلاج أعراض البرد والكحة للأم المرضع,general_info,لا يوجد,لا يوجد
أنا مريض كبد وباخد فلوكونازول لفطر في الفم، هل في خطورة على الكبد,هل دواء فلوكونازول آمن للمرضى الذين يعانون من أمراض الكبد,contraindication,فلوكونازول,Fluconazole
أنا مريض إيدز وباخد أدوية مضادة للفيروسات، هل تتعارض مع دواء السعال,هل تتعارض أدوية مضادت الفيروسات لمرضى الإيدز مع أدوية السعال الشائعة,interaction,لا يوجد,لا يوجد
انا باخد مميعات الدم وارفارين، وحصلت لي ضربة في الركبة وأورمت، ماذا أتناول للورم,ما هو المسكن الآمن لمرضى الوارفارين لعلاج أورام والتهابات المفاصل,interaction,وارفارين,Warfarin
أنا كنت باخد حبوب منع حمل ميكروجينون وفاتني شريط، وبعد حوالى شهر جاتلى الدورة متقطعة، سبب,ما هي أسباب عدم انتظام الدورة بعد التوقف عن تناول حبوب منع الحمل ميكروجينون,general_info,ميكروجينون,Levonorgestrel-Ethinylestradiol
أنا عندي تكيس مبايض، وبتعاني من زيادة الوزن والشعر، سمعت أن جلوكوفاج بينفع,هل دواء جلوكوفاج فعال في علاج أعراض تكيس المبايض,general_info,جلوكوفاج,Metformin
أنا مريض بفقر الدم وبياخد حديد، الدكتور صرف لي فيرومارات، هل يختلف عن فيروجلوبين,ما الفرق بين دواء فيرومارات وفيروجلوبين لعلاج فقر الدم,general_info,فيرومارات,Iron
أنا مريض ربو وأستخدم فنتولين بكثرة، الدكتور قال لي أخاف على قلبي، لماذا,كيف يؤثر الاستخدام المفرط لبخاخ فنتولين على صحة القلب,side_effects,فنتولين,Salbutamol
أنا مريض بروستاتا حميدة، بياخد هارنال من 6 شهور مع تحسن ملحوظ، هل أستمر,ما هي مدة علاج تضخم البروستاتا الحميد بدواء هارنال,dosage,هارنال,Tamsulosin
أنا مريض بارتجاع المرئ وحموضة شديدة، الدكتور وصف لي نيكسيوم وبانتوبرازول مع بعض، ما رأيك,هل من الآمن استخدام نيكسيوم وبانتوبرازول معًا لعلاج الارتجاع,interaction,نيكسيوم,Esomeprazole
الداي عندي ربو وبياخد سيريتيد وجهاز، ونفس الوقت بياخد سبيريفا. أليسا في تعارض,هل يوجد تعارض بين جهاز سيريتيد وجهاز سبيريفا في علاج الربو,interaction,سيريتيد,Fluticasone-Salmeterol
أنا باخد أدوية غدة درقية، هل تنفع مع أدوية السيولة,هل تتداخل أدوية الغدة الدرقية مثل ليفوثيروكسين مع أدوية السيولة مثل الوارفارين,interaction,ليفوثيروكسين,Levothyroxine
أنا ست حامل في الشهر السابع ودكاترتي قالت لي خلاص الراجل حصلي تسمم حمل، ونصحتني بأسبرين 81,لماذا يوصف الأسبرين منخفض الجرعة لعلاج تسمم الحمل,general_info,أسبرين,Aspirin
أنا رضيع عنده 4 شهور وعنده كحة شديدة، الدكتور وصف له أمبروكسول نقط، أمانة,هل نقط أمبروكسول آمنة للاستخدام لعلاج الكحة عند الرضع بعمر 4 شهور,contraindication,أمبروكسول,Ambroxol
أنا شخص بالغ بوابة داء السكري، الدكتور قال لي أبدا جلوكوفاج واعمل حمية، لماذا لا أبدأ بحمية فقط,هل دواء جلوكوفاج ضروري في المراحل الأولى لمقدمات السكري,general_info,جلوكوفاج,Metformin
أنا مريض بسرطان في الثدي وبيخضع العلاج الكيماوي، الدكتور عايز يضيف لي زوفران قبل الكيماوي,ما فائدة إعطاء دواء زوفران قبل جلسات العلاج الكيماوي,general_info,زوفران,Ondansetron
أنا مريض سكر نوع أول وأستخدم الإنسولين، والدكتورة قالت لي لا تأكل كثيرا من المانجو، ليه,لماذا يُنصح مريض السكري بتجنب الإفراط في تناول المانجو,general_info,إنسولين,Insulin
أنا مريض ألم عصب الوجه، الدكتور صرف لي تيجريتول، بس أنا خائف من التأثير على الكبد,هل دواء تيجريتول لعلاج ألم العصب الثلاثي التوائم يؤثر على الكبد,side_effects,تيجريتول,Carbamazepine
أنا باخد سيبرالكس، وعايز أعرف أعراض الانسحاب منه، لو حبيت أوقفه,ما هي أعراض الانسحاب المتوقعة عند التوقف عن تناول دواء سيبرالكس,side_effects,سيبرالكس,Escitalopram
أنا مريض روماتويد شديد، والدكتور كتب لي هيدروكسي كلوروكين من شهرين ومش حاسس بتحسن كبير,ما هي المدة التي يحتاجها دواء هيدروكسي كلوروكين لبدء التأثير في الروماتويد,general_info,هيدروكسي كلوروكين,Hydroxychloroquine
أنا مريض بالصرع وباخذ لاميكتال، والدكتور أحب أن يضيف لي كيبرا، ما سبب الجمع بين اثنين,ما فائدة الجمع بين دواءي لاميكتال وكيبرا لعلاج الصرع,general_info,لاميكتال,Lamotrigine
أنا مريض ضغط عالي ودكاترة كتبتلي كونكور وهايزار مع بعض. بس خايف من انخفاض الضغط,هل الجمع بين كونكور وهايزار يزيد من خطر هبوط الضغط,side_effects,كونكور,Bisoprolol
أنا مريض قلب ومركب دعامة، وبياخد بلافيكس مع أسبرين. هل في خطورة,هل العلاج المزدوج ببلافيكس وأسبرين بعد الدعامة القلبية آمن,contraindication,بلافيكس,Clopidogrel
أنا شربت أدوية برد من الصيدلية وفيها مضاد هستامين، جالى خمول وتشويش ونعاس شديد,ما هي أسباب الخمول والتشويش الشديد بعد تناول أدوية البرد المحتوية على مضادات الهيستامين,side_effects,لا يوجد,لا يوجد
أنا مريض سكر نوع تاني مكتشف جديد، بياخد جلوكوفاج 500، والدكتور قال لي زودها لـ 1000,هل زيادة جرعة جلوكوفاج من 500 إلى 1000 مجم آمنة,contraindication,جلوكوفاج,Metformin
أنا مريض ضغط عالي مكتشف جديد، الدكتور وصف لي كوزار 50، وهو قالي لازم أعمله تحليل صورة دم كاملة ليه قبل الدواء,ما أهمية إجراء تحليل صورة دم كاملة قبل بدء علاج ضغط الدم بدواء كوزار,general_info,كوزار,Losartan
أنا مريض ربو خفيف ومستمر، هل من الأفضل استخدام فنتولين عند الحاجة فقط,ما هو الأفضل لعلاج الربو الخفيف: فنتولين عند الحاجة أم استخدام منتظم لسريتيدي,general_info,فنتولين,Salbutamol
أنا مدخن شراهة وعندي السكر، الدكتور نصحني أتوقف عن التدخين وإلا الجلوكوفاج مش هينفع معايا,لماذا يؤثر التدخين على فعالية دواء جلوكوفاج لمرضى السكري,general_info,جلوكوفاج,Metformin
أنا شاب وأذهب إلى النادي، الدكتور كتب لي جلوكوزامين لتقوية الغضاريف، بس مش عارف أتناوله قبل التمرين ولا بعده,ما هو أفضل وقت لتناول مكملات الجلوكوزامين الغذائية,administration,جلوكوزامين,Glucosamine
أنا أستعمل كريم فيوسيدين من سنين لحب الشباب، بقالي فترة مش بيجيب نتيجة,لماذا قد يفقد كريم فيوسيدين فعاليته مع الاستخدام الطويل لعلاج حب الشباب,general_info,فيوسيدين,Fusidic acid
أنا باخد فيتامين سي 1000 مجم في اليوم، وجالي إسهال شديد، هل له علاقة بالدواء,هل الإسهال الشديد من الآثار الجانبية المحتملة لجرعات فيتامين سي العالية,side_effects,فيتامين سي,Vitamin C
أنا مريض سكر وبياخد جلوكوفاج، وعايز أستخدم أعشاب لتقوية المناعة، هل في ضرر,هل توجد أعشاب تتفاعل سلبًا مع دواء جلوكوفاج,interaction,جلوكوفاج,Metformin
أنا أم مرضعة، وابني عنده مغص، أخذت بوسكوبان من الصيدلية، هل هيأثر على لبنى,هل يتسرب دواء بوسكوبان إلى لبن الأم المرضع ويؤثر على الرضيع,contraindication,بوسكوبان,Hyoscine butylbromide
أنا مريض سرطان وبياخد علاج كيماوي، والدكتور كتب لي زوفران 4 مجم، الأعراض الجانبية,ما هي الأعراض الجانبية الشائعة لدواء زوفران لمرضى العلاج الكيماوي,side_effects,زوفران,Ondansetron
أنا شخص كبير في السن عندي 72 سنة وبعاني من ألم مفاصل الركبة، استخدمت فاستوم جل مع مسكنات فموية,هل يمكن استخدام فاستوم جل موضعي مع مسكنات فموية لآلام المفاصل,interaction,فاستوم جل,Ketoprofen
أنا مريض بألم في الأسنان، والدكتور كتب لي مضاد حيوي أموكسيسيلين ومسكن باراسيتامول,هل من الآمن تناول أموكسيسيلين مع باراسيتامول معًا,interaction,أموكسيسيلين,Amoxicillin
أنا مريض ضغط، وعملت عملية خلع ضرس العقل، الدكتور كتب لي مسكن بروفين، بس أنا خايف من النزيف,هل يزيد دواء بروفين من خطر النزيف بعد خلع الأسنان لمرضى الضغط,contraindication,بروفين,Ibuprofen
أنا باخد سيمفاستاتين لتخفيض الكوليسترول، وأيضًا آخذ مكملات غذائية تحتوي على الردة، هل يؤثر,هل تتعارض مكملات الردة الغذائية مع امتصاص دواء سيمفاستاتين,interaction,سيمفاستاتين,Simvastatin
أنا باخد جلوكوفاج، وجالي إسهال شديد وألم في البطن، هل أوقف الدواء لوحدي,ما هي الحالات التي تستدعي التوقف الفوري لدواء جلوكوفاج,contraindication,جلوكوفاج,Metformin
أنا تعبت من الصداع النصفي، سمعت أن سوماتريبتان هو الحل الأسرع، هل ينفع آخده من الصيدلية بدون روشتة,هل يمكن صرف دواء سوماتريبتان بدون وصفة طبية لعلاج الصداع النصفي,contraindication,سوماتريبتان,Sumatriptan
